director_id:string:START_ID,:START_LABEL,movie_id:string:END_ID,:END_LABEL,:TYPE,year:string
"约翰·R·莱昂耐迪","director","25812885","movie","DIRECT","2014.0"
"贾森·弗莱德伯格 ","director","25958197","movie","DIRECT","2015.0"
" 亚伦·赛尔策","director","25958197","movie","DIRECT","2015.0"
"安彦良和 ","director","19897541","movie","DIRECT","2015.0"
" 今西隆志","director","19897541","movie","DIRECT","2015.0"
"希恩·安德鲁斯","director","22508259","movie","DIRECT","2014.0"
"盖瑞·肖","director","2147872","movie","DIRECT","2014.0"
"深川栄洋","director","25870671","movie","DIRECT","2014.0"
"鲍比·法拉利 ","director","10577854","movie","DIRECT","2014.0"
" 彼得·法拉利","director","10577854","movie","DIRECT","2014.0"
"罗素·克劳","director","25749871","movie","DIRECT","2014.0"
"Christopher Leone","director","26356473","movie","DIRECT","2015.0"
"白云学","director","25870679","movie","DIRECT","2015.0"
"琳·谢尔顿","director","20278806","movie","DIRECT","2014.0"
"James Kent","director","10756517","movie","DIRECT","2015.0"
"加贝·伊班内兹","director","6873819","movie","DIRECT","2014.0"
"大森寿美男","director","25766663","movie","DIRECT","2015.0"
"苏珊娜·比尔","director","3112738","movie","DIRECT","2014.0"
"亚当·温加德","director","25721544","movie","DIRECT","2014.0"
"迈克尔·霍夫曼","director","24882719","movie","DIRECT","2014.0"
"威尔·古勒","director","6873740","movie","DIRECT","2015.0"
"瑞卡多·米拉尼","director","26036657","movie","DIRECT","2014.0"
"林赞相","director","25827270","movie","DIRECT","2014.0"
"梅兹·塔拉","director","26263504","movie","DIRECT","2014.0"
"Charles Binamé","director","25920098","movie","DIRECT","2015.0"
"蔡岳勋","director","25709273","movie","DIRECT","2014.0"
"Steve Loter","director","26258872","movie","DIRECT","2014.0"
"J.C. Calciano","director","25757780","movie","DIRECT","2015.0"
"吉尔·克兰","director","3012031","movie","DIRECT","2015.0"
"吴胜旭","director","25828520","movie","DIRECT","2015.0"
"佐藤东弥","director","25949984","movie","DIRECT","2015.0"
"斯科特·弗兰克","director","12012475","movie","DIRECT","2014.0"
"Miguel Ángel Vivas","director","25884436","movie","DIRECT","2015.0"
"嘉里·瑞德斯托姆","director","26258752","movie","DIRECT","2015.0"
"王岳伦","director","25908302","movie","DIRECT","2015.0"
"孔玟燕","director","22276795","movie","DIRECT","2015.0"
"朴珍杓","director","25828521","movie","DIRECT","2015.0"
"贾森·雷特曼","director","25722262","movie","DIRECT","2014.0"
"亨利·霍伯森","director","10741865","movie","DIRECT","2015.0"
"赵宝刚","director","25789352","movie","DIRECT","2014.0"
"Ari Sandel","director","24325906","movie","DIRECT","2015.0"
"理查德·隆克瑞恩","director","24842277","movie","DIRECT","2015.0"
"谭华","director","25706778","movie","DIRECT","2015.0"
"李元硕","director","25800269","movie","DIRECT","2014.0"
"Brandon Vietti","director","26306980","movie","DIRECT","2015.0"
"卡洛堤·奈金塔隆","director","26356055","movie","DIRECT","2015.0"
"Sergio Tovar Velarde","director","25767853","movie","DIRECT","2014.0"
"丹尼尔·阿尔弗雷森","director","25747016","movie","DIRECT","2015.0"
"若松节朗","director","25823113","movie","DIRECT","2014.0"
"金炫锡","director","25843352","movie","DIRECT","2015.0"
"范建浍","director","25743807","movie","DIRECT","2014.0"
"Kiah Roache-Turner","director","24746974","movie","DIRECT","2015.0"
"罗勒·莎菲","director","21965450","movie","DIRECT","2014.0"
"洪锡宰","director","25977063","movie","DIRECT","2015.0"
"黄百鸣 ","director","26263437","movie","DIRECT","2015.0"
" 邱礼涛","director","26263437","movie","DIRECT","2015.0"
"安娜·莉莉·阿米普尔","director","20436359","movie","DIRECT","2014.0"
"张涛","director","26550734","movie","DIRECT","2015.0"
"伊丽莎白·艾伦","director","6874433","movie","DIRECT","2015.0"
"菲利普·法拉特乌","director","24697552","movie","DIRECT","2014.0"
"Valeri Milev","director","26022765","movie","DIRECT","2014.0"
"石井裕也","director","25832727","movie","DIRECT","2014.0"
"凯尔·纽曼","director","6873851","movie","DIRECT","2015.0"
"安相勋","director","25789453","movie","DIRECT","2015.0"
"董春泽","director","26011893","movie","DIRECT","2015.0"
"科里夫·斯丹德斯","director","10764850","movie","DIRECT","2014.0"
"梁婷","director","25869868","movie","DIRECT","2014.0"
"犬童一心","director","25799040","movie","DIRECT","2014.0"
"Kim Farrant","director","25750671","movie","DIRECT","2015.0"
"蒂埃里·拉格贝尔","director","3095502","movie","DIRECT","2015.0"
"张镇","director","25824753","movie","DIRECT","2014.0"
"比尔·波拉德","director","3073287","movie","DIRECT","2014.0"
"Stefan Liberski","director","25957030","movie","DIRECT","None"
"张浩、王岩川","director","26590070","movie","DIRECT","None"
"蒂托·蒙蒂尔","director","25875209","movie","DIRECT","2014.0"
"熊坂出","director","25931245","movie","DIRECT","2014.0"
"Butch Lukic","director","26417423","movie","DIRECT","2015.0"
"肯尼·奥特加","director","25908941","movie","DIRECT","2015.0"
"伊力·维伊德雷克","director","25740966","movie","DIRECT","2013.0"
"穆丹","director","24845637","movie","DIRECT","2014.0"
"Fabrice Du Welz","director","10526498","movie","DIRECT","2014.0"
"广木隆一","director","25777784","movie","DIRECT","2014.0"
"Isara Nadee","director","25905773","movie","DIRECT","2014.0"
"塞德里克·吉门内兹","director","24753439","movie","DIRECT","2014.0"
"西尔扎提·亚合甫 ","director","25881067","movie","DIRECT","2014.0"
" 张欣","director","25881067","movie","DIRECT","2014.0"
"罗斯·卡兹","director","25810966","movie","DIRECT","2014.0"
"Sophie Barthes","director","10755525","movie","DIRECT","2014.0"
"安妮·芳婷","director","24639908","movie","DIRECT","2014.0"
"吴维峰","director","26317346","movie","DIRECT","2015.0"
"Zach Lipovsky","director","26176503","movie","DIRECT","None"
"Mikel Rueda","director","26228762","movie","DIRECT","2014.0"
"尤里·贝科夫","director","25882861","movie","DIRECT","2014.0"
"乔·丹特","director","25776178","movie","DIRECT","2014.0"
"Severin Fiala ","director","25934361","movie","DIRECT","2014.0"
" 维罗妮卡·弗兰茨","director","25934361","movie","DIRECT","2014.0"
"小林啓一","director","25861681","movie","DIRECT","2014.0"
"Morgan Matthews","director","25730893","movie","DIRECT","2014.0"
"格伦·威尔斯","director","24877015","movie","DIRECT","2014.0"
"阿托姆·伊戈扬","director","11600988","movie","DIRECT","2014.0"
"Karen Leigh Hopkins","director","25739366","movie","DIRECT","2014.0"
"小林圣太郎","director","25821620","movie","DIRECT","2015.0"
"David Au","director","25870091","movie","DIRECT","None"
"Spike Brandt ","director","26423179","movie","DIRECT","2015.0"
" Tony Cervone","director","26423179","movie","DIRECT","2015.0"
"安德鲁·尼科尔","director","25823469","movie","DIRECT","2014.0"
"高志森","director","25932073","movie","DIRECT","2015.0"
"Basel Owies","director","25749515","movie","DIRECT","None"
"哈磊","director","26348959","movie","DIRECT","2015.0"
"丹尼斯·阿康特","director","20271845","movie","DIRECT","2014.0"
"乔治·奥瓦什威利","director","25911449","movie","DIRECT","2014.0"
"李闘士男","director","22419013","movie","DIRECT","2015.0"
"马赛·皮耶普莱兹卡","director","25705507","movie","DIRECT","2013.0"
"Kim Jeong-hwan","director","26235707","movie","DIRECT","2014.0"
"米洛斯拉夫·史拉波斯维兹奇","director","19929592","movie","DIRECT","2014.0"
"杰姆·耶尔马兹","director","26201173","movie","DIRECT","2014.0"
"佐佐部清","director","22419433","movie","DIRECT","2014.0"
"安迪·菲克曼","director","25833539","movie","DIRECT","2015.0"
"大卫·戈登·格林","director","24711890","movie","DIRECT","2014.0"
"田晓鹏","director","26277313","movie","DIRECT","2015.0"
"入江悠","director","25841241","movie","DIRECT","2014.0"
"林权泽","director","25741337","movie","DIRECT","2014.0"
"大卫·泽尔纳","director","25785061","movie","DIRECT","2014.0"
"皮埃尔·莫瑞尔","director","20379462","movie","DIRECT","2015.0"
"吉娜·普林斯-拜斯伍德","director","25821380","movie","DIRECT","2014.0"
"金镇英","director","25975912","movie","DIRECT","2015.0"
"凯尔·巴尔达 ","director","11624706","movie","DIRECT","2015.0"
" 皮艾尔·柯芬","director","11624706","movie","DIRECT","2015.0"
"陈慧翎","director","24851526","movie","DIRECT","2015.0"
"马特·沙克曼","director","10755160","movie","DIRECT","2015.0"
"Han Jun-hee","director","25890078","movie","DIRECT","2015.0"
"爱迪生","director","26312967","movie","DIRECT","2015.0"
"佩妮莱·费舍尔·克里斯藤森","director","21794463","movie","DIRECT","2014.0"
"让-巴普蒂斯特·莱昂内蒂","director","25755768","movie","DIRECT","2015.0"
"Thomas Lilti","director","25862325","movie","DIRECT","2014.0"
"申汉率","director","26297389","movie","DIRECT","2015.0"
"阿兰·泰勒","director","3338862","movie","DIRECT","2015.0"
"诺亚·鲍姆巴赫","director","5997157","movie","DIRECT","2014.0"
"Paul Katis","director","26272363","movie","DIRECT","2014.0"
"Kim Deok-Soo","director","25767612","movie","DIRECT","2014.0"
"Butch Lukic","director","26373522","movie","DIRECT","2015.0"
"黄浩然","director","25724870","movie","DIRECT","2014.0"
"肖恩·麦克纳马拉","director","25863669","movie","DIRECT","2015.0"
"金赵光寿 ","director","25875037","movie","DIRECT","2014.0"
" 金泰勇","director","25875037","movie","DIRECT","2014.0"
"理查德·拉·格拉文斯","director","21361076","movie","DIRECT","2014.0"
"詹姆斯·麦克特格","director","25800699","movie","DIRECT","2015.0"
"肯·斯科特","director","25743024","movie","DIRECT","2015.0"
"大卫·奥霍芬","director","24718802","movie","DIRECT","2014.0"
"大卫·贾柏","director","24704130","movie","DIRECT","2015.0"
"马克·劳伦斯","director","20496674","movie","DIRECT","2014.0"
"Ha Won-joon","director","25806461","movie","DIRECT","2014.0"
"孙勇浩","director","25851668","movie","DIRECT","2015.0"
"Shira Piven","director","24705685","movie","DIRECT","2014.0"
"平川雄一朗","director","25790164","movie","DIRECT","2014.0"
"瑞纳·考夫曼","director","25814628","movie","DIRECT","2015.0"
"小泉尧史","director","21937456","movie","DIRECT","2014.0"
"大卫·韦恩","director","10776641","movie","DIRECT","2014.0"
"尼拉基·潘迪","director","25967329","movie","DIRECT","2015.0"
"Salomé Breziner","director","25896101","movie","DIRECT","2014.0"
"金锡允","director","25903812","movie","DIRECT","2015.0"
"亚历山德拉·阿斯提耶尔","director","25917236","movie","DIRECT","2014.0"
"柯特妮·考克斯","director","24757324","movie","DIRECT","2014.0"
"昆汀·杜飞","director","19962556","movie","DIRECT","2014.0"
"罗内特·艾尔卡贝兹 ","director","25687245","movie","DIRECT","2014.0"
" 施洛米·艾尔卡贝兹","director","25687245","movie","DIRECT","2014.0"
"麦曦茵","director","25899439","movie","DIRECT","None"
"保罗·安德鲁·威廉姆斯","director","26088329","movie","DIRECT","2015.0"
"古澤健","director","25845399","movie","DIRECT","2014.0"
"凯内尔·穆德卢佐","director","23011206","movie","DIRECT","2014.0"
"Ekachai Uekrongtham","director","5152973","movie","DIRECT","2014.0"
"Maximilian Erlenwein","director","25795793","movie","DIRECT","2014.0"
"Justin Reardon","director","20388696","movie","DIRECT","2014.0"
"乔治·乌尔夫","director","3006306","movie","DIRECT","2014.0"
"安藤寻","director","25853729","movie","DIRECT","2014.0"
"李岗 ","director","26012018","movie","DIRECT","2014.0"
" 萧力修","director","26012018","movie","DIRECT","2014.0"
"陈翊恒","director","25886495","movie","DIRECT","2014.0"
"成島出","director","25795311","movie","DIRECT","2014.0"
"Lukasz Palkowski","director","26200413","movie","DIRECT","2014.0"
"菲利普·马丁","director","25826239","movie","DIRECT","2015.0"
"Adam Robitel","director","26012598","movie","DIRECT","2014.0"
"海涛","director","26304164","movie","DIRECT","2015.0"
"海涛","director","26304162","movie","DIRECT","2015.0"
"海涛","director","26304161","movie","DIRECT","2015.0"
"Monika Mitchell","director","25765830","movie","DIRECT","2013.0"
"三岛有纪子","director","25728003","movie","DIRECT","2014.0"
"Andrea Sedlácková","director","25911450","movie","DIRECT","2014.0"
"海涛","director","26304160","movie","DIRECT","2015.0"
"海涛","director","26304159","movie","DIRECT","2015.0"
"列万·加布里亚德兹","director","26281899","movie","DIRECT","2014.0"
"贾斯汀·本森 ","director","25941964","movie","DIRECT","2015.0"
" 艾伦·穆尔黑德","director","25941964","movie","DIRECT","2015.0"
"武正晴","director","25812731","movie","DIRECT","2014.0"
"阿伯德拉马纳·希萨柯","director","25803933","movie","DIRECT","2014.0"
